"list-view-price","celly","celly 2","celly 3","celly 4","list-view-location"
"35.000","3 +
                          1","120 m²","22
                        Yaşında","2. Kat","İzmir / Karşıyaka / Donanmacı Mah."
"30.000","3 +
                          1","135 m²","22
                        Yaşında","Yüksek Giriş","İzmir / Buca / Yenigün Mah."
"21.500","2 +
                          1","80 m²","Sıfır Bina","5. Kat","İzmir / Menemen / Ahıhıdır Mah."
"49.000","3 +
                          1","135 m²","31
                        Yaşında","1. Kat","İzmir / Bayraklı / Manavkuyu Mah."
"25.000","2 +
                          1","90 m²","20
                        Yaşında","3. Kat","İzmir / Balçova / Onur Mah."
"20.250","1 +
                          1","75 m²","4
                        Yaşında","Giriş Katı","İzmir / Buca / Atatürk Mah."
"29.500","3 +
                          1","125 m²","6
                        Yaşında","4. Kat","İzmir / Karabağlar / Kazım Karabekir Mah."
"31.000","3 +
                          1","139 m²","7
                        Yaşında","1. Kat","İzmir / Bergama / Fatih Mah."
"40.000","2 +
                          1","75 m²","5
                        Yaşında","2. Kat","İzmir / Balçova / Çetin Emeç Mah."
"50.000","3 +
                          1","160 m²","25
                        Yaşında","7. Kat","İzmir / Konak / Mimar Sinan Mah."
"27.500","1 +
                          1","60 m²","5
                        Yaşında","4. Kat","İzmir / Bornova / Erzene Mah."
"15.000","1 +
                          1","65 m²","20
                        Yaşında","En Üst Kat","İzmir / Karabağlar / Peker Mah."
"60.000","3 +
                          1","160 m²","24
                        Yaşında","","İzmir / Çeşme / Ildır Mah."
"31.000","2 +
                          1","75 m²","30
                        Yaşında","4. Kat","İzmir / Narlıdere / Çamtepe Mah."
"16.000","1 +
                          1","60 m²","3
                        Yaşında","2. Kat","İzmir / Menemen / Kemal Atatürk Mah."
"27.000","3 +
                          1","130 m²","26
                        Yaşında","3. Kat","İzmir / Karabağlar / Basın Sitesi Mah."
"20.000","3 +
                          1","120 m²","20
                        Yaşında","1. Kat","İzmir / Karabağlar / Doğanay Mah."
"35.000","2 +
                          1","115 m²","16
                        Yaşında","2. Kat","İzmir / Urla / Hacı İsa Mah."
"48.000","2 +
                          1","67 m²","2
                        Yaşında","6. Kat","İzmir / Bayraklı / Mansuroğlu Mah."
"30.000","3 +
                          1","125 m²","25
                        Yaşında","En Üst Kat","İzmir / Gaziemir / Atıfbey Mah."
"20.000","1 +
                          1","100 m²","30
                        Yaşında","5. Kat","İzmir / Bornova / Yeşilova Mah."
"23.000","1 +
                          1","65 m²","6
                        Yaşında","3. Kat","İzmir / Bornova / Mevlana Mah."
"26.000","2 +
                          1","100 m²","31
                        Yaşında","Bahçe Katı","İzmir / Aliağa / Çakmaklı Mah."
"25.000","1 +
                          1","50 m²","6
                        Yaşında","1. Kat","İzmir / Bayraklı / Onur Mah."
"29.000","3 +
                          1","125 m²","21
                        Yaşında","2. Kat","İzmir / Menemen / İstiklal Mah."
"18.000","2 +
                          1","100 m²","26
                        Yaşında","1. Kat","İzmir / Konak / Ulubatlı Mah."
"24.000","2 +
                          1","120 m²","17
                        Yaşında","2. Kat","İzmir / Karabağlar / Bahar Mah."
"34.500","2 +
                          1","105 m²","1
                        Yaşında","Yüksek Giriş","İzmir / Karşıyaka / Goncalar Mah."
"80.000","3 +
                          1","150 m²","6
                        Yaşında","Bahçe Katı","İzmir / Urla / M. Fevzi Çakmak Mah."
"35.000","1 +
                          1","60 m²","6
                        Yaşında","7. Kat","İzmir / Karşıyaka / Bahçelievler Mah."
"17.000","Stüdyo","40 m²","4
                        Yaşında","5. Kat","İzmir / Çiğli / Balatçık Mah."
"1.900.000","3 +
                          1","130 m²","6
                        Yaşında","Bahçe Katı","İzmir / Çeşme / Alaçatı Mah."
"36.000","Stüdyo","48 m²","6
                        Yaşında","1. Kat","İzmir / Bornova / Kazımdirik Mah."
"35.000","1 +
                          1","40 m²","10
                        Yaşında","9. Kat","İzmir / Karşıyaka / Yalı Mah."
"33.000","3 +
                          1","140 m²","36
                        Yaşında","3. Kat","İzmir / Bayraklı / Osmangazi Mah."
"20.000","3 +
                          1","135 m²","26
                        Yaşında","6. Kat","İzmir / Menemen / İstiklal Mah."
"32.000","3 +
                          1","125 m²","34
                        Yaşında","6. Kat","İzmir / Karşıyaka / Yalı Mah."
"20.000","1 +
                          1","50 m²","9
                        Yaşında","Ara Kat","İzmir / Buca / Atatürk Mah."
"17.000","1 +
                          1","60 m²","25
                        Yaşında","4. Kat","İzmir / Bornova / Evka 4 Mah."
"1.100.000","5 +
                          1","440 m²","Sıfır Bina","Bahçe Katı","İzmir / Çeşme / Reisdere Mah."
"35.000","2 +
                          1","85 m²","11
                        Yaşında","4. Kat","İzmir / Karşıyaka / Şemikler Mah."
"33.000","3 +
                          1","167 m²","21
                        Yaşında","Yüksek Giriş","İzmir / Çiğli / Ataşehir Mah."
"60.000","3 +
                          1","170 m²","10
                        Yaşında","5. Kat","İzmir / Karabağlar / Ali Fuat Cebesoy Mah."
"19.500","1 +
                          1","50 m²","1
                        Yaşında","1. Kat","İzmir / Torbalı / Alpkent Mah."
"25.000","2 +
                          1","100 m²","Sıfır Bina","Zemin","İzmir / Seferihisar / Çolak İbrahim Bey Mah."
"24.000","2 +
                          1","72 m²","6
                        Yaşında","2. Kat","İzmir / Çiğli / Yeni Mahalle Mah."
"20.900","2 +
                          1","90 m²","2
                        Yaşında","Yüksek Giriş","İzmir / Buca / Yeşilbağlar Mah."
"19.000","1 +
                          1","55 m²","3
                        Yaşında","Ara Kat","İzmir / Buca / Atatürk Mah."
"28.000","2 +
                          1","100 m²","Sıfır Bina","Giriş Katı","İzmir / Karabağlar / Gülyaka Mah."
"36.000","3 +
                          1","130 m²","35
                        Yaşında","7. Kat","İzmir / Karabağlar / Bahçelievler Mah."
"31.000","3 +
                          1","130 m²","29
                        Yaşında","5. Kat","İzmir / Karşıyaka / Bahriye Üçok Mah."
"31.000","3 +
                          1","125 m²","16
                        Yaşında","4. Kat","İzmir / Konak / Akın Simav Mah."
"30.000","1 +
                          1","90 m²","35
                        Yaşında","2. Kat","İzmir / Balçova / Eğitim Mah."
"21.000","3 +
                          1","120 m²","11
                        Yaşında","3. Kat","İzmir / Menderes / Barbaros Mah."
"23.000","1 +
                          1","55 m²","11
                        Yaşında","6. Kat","İzmir / Çiğli / Atatürk Mah."
"24.000","2 +
                          1","90 m²","15
                        Yaşında","2. Kat","İzmir / Menderes / Barbaros Mah."
"33.000","1 +
                          1","60 m²","1
                        Yaşında","4. Kat","İzmir / Buca / Atatürk Mah."
"45.000","3 +
                          1","120 m²","16
                        Yaşında","1. Kat","İzmir / Güzelbahçe / Yelki Mah."
"28.000","3 +
                          1","130 m²","15
                        Yaşında","4. Kat","İzmir / Çiğli / İnönü Mah."
"37.000","1 +
                          1","50 m²","6
                        Yaşında","3. Kat","İzmir / Karşıyaka / Demirköprü Mah."
"17.000","2 +
                          1","70 m²","5
                        Yaşında","En Üst Kat","İzmir / Menemen / Gazi Mustafa Kemal Mah."
"23.000","3 +
                          1","130 m²","25
                        Yaşında","3. Kat","İzmir / Menemen / Esatpaşa Mah."
