"list-view-price","celly","celly 2","celly 3","celly 4","list-view-location"
"25.000","3 +
                          1","140 m²","3
                        at Age","Middle Floor","Manisa / Akhisar / Reşat Bey Mah."
"20.000","3 +
                          1","132 m²","23
                        at Age","Middle Floor","Manisa / Akhisar / Hürriyet Mah."
"25.000","3 +
                          1","130 m²","15
                        at Age","3. Floor","Manisa / Şehzadeler / Şehitler Mah."
"21.500","3 +
                          1","160 m²","4
                        at Age","4. Floor","Manisa / Yunusemre / Muradiye Mah."
"14.000","1 +
                          1","60 m²","New Property","4. Floor","Manisa / Yunusemre / Muradiye Mah."
"15.000","3 +
                          1","140 m²","16
                        at Age","3. Floor","Manisa / Akhisar / Ulu Camii Mah."
"32.500","3 +
                          1","120 m²","13
                        at Age","Middle Floor","Manisa / Yunusemre / Cumhuriyet Mah."
"17.500","3 +
                          1","127 m²","5
                        at Age","2. Floor","Manisa / Akhisar / Cumhuriyet Mah."
"20.000","2 +
                          1","100 m²","5
                        at Age","3. Floor","Manisa / Yunusemre / Muradiye Mah."
"16.000","2 +
                          1","105 m²","5
                        at Age","2. Floor","Manisa / Turgutlu / Bozkurt Mah."
"22.000","2 +
                          1","85 m²","5
                        at Age","2. Floor","Manisa / Yunusemre / Muradiye Mah."
"20.000","3 +
                          1","130 m²","5
                        at Age","3. Floor","Manisa / Yunusemre / Muradiye Mah."
"25.000","3 +
                          1","125 m²","16
                        at Age","1. Floor","Manisa / Yunusemre / Mutlu Mah."
"22.000","3 +
                          1","120 m²","9
                        at Age","3. Floor","Manisa / Yunusemre / Muradiye Mah."
"22.000","3 +
                          1","138 m²","2
                        at Age","4. Floor","Manisa / Kırkağaç / Şair Eşref Mah."
"13.000","2 +
                          1","90 m²","31
                        at Age","4. Floor","Manisa / Akhisar / Ragıp Bey Mah."
"15.000","Stüdyo","40 m²","4
                        at Age","Middle Floor","Manisa / Salihli / Eski Cami Mah."
"10.000","3 +
                          1","100 m²","16
                        at Age","","Manisa / Salihli / Gökköy Mah."
"30.000","3 +
                          1","140 m²","New Property","2. Floor","Manisa / Akhisar / Atatürk Mah."
"17.500","2 +
                          1","95 m²","5
                        at Age","3. Floor","Manisa / Yunusemre / Muradiye Mah."
"15.000","2 +
                          1","95 m²","11
                        at Age","3. Floor","Manisa / Yunusemre / Muradiye Mah."
"45.000","3 +
                          1","205 m²","11
                        at Age","6. Floor","Manisa / Yunusemre / Güzelyurt Mah."
"21.000","2 +
                          1","90 m²","8
                        at Age","3. Floor","Manisa / Yunusemre / Muradiye Mah."
"30.000","2 +
                          1","110 m²","4
                        at Age","2. Floor","Manisa / Yunusemre / Muradiye Mah."
"27.500","1 +
                          1","70 m²","10
                        at Age","2. Floor","Manisa / Yunusemre / Muradiye Mah."
"20.000","3 +
                          1","155 m²","15
                        at Age","3. Floor","Manisa / Turgutlu / Yıldırım Mah."
"20.000","2 +
                          1","75 m²","31
                        at Age","5. Floor","Manisa / Yunusemre / Güzelyurt Mah."
"37.000","3 +
                          1","145 m²","4
                        at Age","5. Floor","Manisa / Salihli / Kurtuluş Mah."
"20.000","3 +
                          1","130 m²","New Property","1. Floor","Manisa / Akhisar / Seyit Ahmet Mah."
"18.000","2 +
                          1","95 m²","5
                        at Age","3. Floor","Manisa / Yunusemre / Muradiye Mah."
"17.500","2 +
                          1","70 m²","New Property","Raised Ground Floor","Manisa / Yunusemre / Muradiye Mah."
"15.000","2 +
                          1","80 m²","New Property","Raised Ground Floor","Manisa / Yunusemre / Muradiye Mah."
"13.500","3 +
                          0","127 m²","35
                        at Age","Top Floor","Manisa / Akhisar / Reşat Bey Mah."
"17.000","2 +
                          0","85 m²","21
                        at Age","Ground","Manisa / Akhisar / Hacı İshak Mah."
"47.500","3 +
                          1","150 m²","14
                        at Age","4. Floor","Manisa / Yunusemre / 75. Yıl Mah."
"25.000","2 +
                          1","105 m²","6
                        at Age","4. Floor","Manisa / Akhisar / Reşat Bey Mah."
"48.000","2 +
                          1","139 m²","10
                        at Age","5. Floor","Manisa / Yunusemre / Güzelyurt Mah."
"19.500","2 +
                          1","105 m²","New Property","Underground 1","Manisa / Akhisar / Efendi Mah."
"30.000","1 +
                          1","52 m²","New Property","Middle Floor","Manisa / Turgutlu / Selvilitepe Mah."
"13.500","3 +
                          1","130 m²","28
                        at Age","5. Floor","Manisa / Akhisar / Ragıp Bey Mah."
"20.000","1 +
                          1","60 m²","New Property","Raised Ground Floor","Manisa / Saruhanlı / Cengiz Topel Mah."
"140.000","5 +
                          1","310 m²","New Property","Garden Floor","Manisa / Yunusemre / Emlakdere Mah."
"22.000","3 +
                          1","125 m²","26
                        at Age","3. Floor","Manisa / Şehzadeler / Şehitler Mah."
"23.000","3 +
                          10","120 m²","25
                        at Age","Middle Floor","Manisa / Şehzadeler / 2. Anafartalar Mah."
"10.000","2 +
                          1","95 m²","20
                        at Age","2. Floor","Manisa / Turgutlu / Atatürk Mah."
"60.000","4 +
                          1","220 m²","New Property","3. Floor","Manisa / Yunusemre / Karaali Mah."
"26.000","1 +
                          1","45 m²","3
                        at Age","1. Floor","Manisa / Yunusemre / Uncubozköy Mah."
"19.500","2 +
                          1","100 m²","31
                        at Age","Ground","Manisa / Turgutlu / Cumhuriyet Mah."
"14.000","1 +
                          1","60 m²","3
                        at Age","3. Floor","Manisa / Yunusemre / Muradiye Mah."
"17.000","2 +
                          1","92 m²","9
                        at Age","Ground","Manisa / Akhisar / Reşat Bey Mah."
"15.000","2 +
                          1","115 m²","25
                        at Age","3. Floor","Manisa / Salihli / Güneş Mah."
"25.000","2 +
                          1","85 m²","6
                        at Age","Raised Ground Floor","Manisa / Yunusemre / Muradiye Mah."
